SEQ COD;DATA;BP;CLIENTE;UF;MUNICIPIO;NF;CÓDIGO;PRODUTO;QTD;R$ UN VND;VALOR;LOTE;REP;CANAL;MOTIVO;OBS;TRATATIVA;ANALISTA
4588027090;11/08/2025;27090;FRANCISCA SILVANA PINTO;PB;JOAO PESSOA;;653235;CANETA GEL TRIS INKFINITY PASTEL BCO CX6;4.0;2.71;10.84;;A E G REPRESENTACOES LTDA;UNIDADE;DEFEITO;FALHA NA ESCRITA;ABATIMENTO;ADRIANO FALCAO SARMENTO
4588158696;12/08/2025;58696;JOSE DA PURIFICACAO RODRIGUES ME;PE;AFRANIO;73277.0;684222;MASSA MODELAR SUPERSOFT 12 CORES CX;40.0;4.292;171.68;;MIGUEL TRAJANO REPRESENTACOES LTDA;UNIDADE;DEFEITO;MASSA FICOU RIGIDA;DEVOLUÇÃO;ADRIANO FALCAO SARMENTO
4588158696;12/08/2025;58696;JOSE DA PURIFICACAO RODRIGUES ME;PE;AFRANIO;143426.0;905765;APONTADOR DEP DIVERTIDAMENTE  POTE 12UN;1.0;45.19;45.19;;MIGUEL TRAJANO REPRESENTACOES LTDA;UNIDADE;DEFEITO;ABERTURA PARA APONTAR AO CONTRARIO;DEVOLUÇÃO;ADRIANO FALCAO SARMENTO
4588360621;14/08/2025;60621;JOAO JANUARIO VIEIRA ME;SC;JOINVILLE;131086.0;904706;AQUARELA BAZZE 12 CORES CJTO;12.0;4.74;;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;DERRETIMENTO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4588360621;14/08/2025;60621;JOAO JANUARIO VIEIRA ME;SC;JOINVILLE;61951.0;618630;CALCULADORA MESA BAZZE B3440 CX 1UN;1.0;25.703.333;;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;NÃO FUNCIONA;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4588327606;14/08/2025;27606;TOQUE DE PAPEL LIVRARIA HOBBY E PINTURA LTDA;RJ;RIO DE JANEIRO;;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN;63.0;;;;ZIGURATE REPRESENTACOES LTDA;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4588327606;14/08/2025;27606;TOQUE DE PAPEL LIVRARIA HOBBY E PINTURA LTDA;RJ;RIO DE JANEIRO;;903365;LAPIS COR TRIS RAINBOW NEON POTE24UN;6.0;;;;ZIGURATE REPRESENTACOES LTDA;UNIDADE;DEFEITO;SEM MOTIVO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4588429661;15/08/2025;29661;PAPELARIA FRADELLI LTDA;MS;CAMPO GRANDE;156233.0;906670;CARIMBO AUTO DUPLO TRIS NECTAR DP 24UN;3.0;54.6;163.8;;REALSI REPRESENTACOES LTDA;DISPLAY;DEFEITO;ESPAÇAMENTO MAIOR QUE A EMBALAGEM;DEVOLUÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
4588962529;20/08/2025;62529;LANG BARRA PAPELARIA LTDA;RJ;RIO DE JANEIRO;141359.0;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN;1.0;93.51;;;FBS REPRESENTACOES LTDA;DISPLAY;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4588975498;20/08/2025;75498;ASM PRESENTES LTDA;RS;TERRA DE AREIA;;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN;96.0;4.61;44.256.000.000.000.000;;MAX BREUEL E CIA LTDA;DISPLAY;DEFEITO;CANETAS COM VAZAMENTO;BONIFICAÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
4588985824;20/08/2025;85824;MARIANA CUBEL CESAR SALDANHA;MS;CAMPO GRANDE;151260.0;905024;CANETA ESF TRIS ASTRO 1.0 10CORES DP12UN;9.0;11.0;99.0;;REALSI REPRESENTACOES LTDA;UNIDADE;DEFEITO;PROBLEMA NO SISTEMA RETRATIL NO TOPO DA CANETA;BONIFICAÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
